Review
5Nice.. good..READ MORE READ MORE
5Excellent Product.READ MORE READ MORE
4The fabric is good. The color is shinny as shown. It is a nice fit.READ MORE READ MORE
5Perfact packaging material quality fitREAD MORE READ MORE
5Perfect Packaging material Quality FitREAD MORE READ MORE
5Very good shirtREAD MORE READ MORE
"4Product quality is fine 4.5 star, fitting is 4 star, colour is 4.5 star,  shinning and smooth 4.5 star and after wash have to check whether it changes or not.READ MORE READ MORE"
4Its a good product good meterialREAD MORE READ MORE
5Amazing qualityREAD MORE READ MORE
5Perfact for Party wearREAD MORE READ MORE
5Loved the colour and perfectly fittedbREAD MORE READ MORE
5perfect sticking and good worth for money.READ MORE READ MORE
5shirt is a niceREAD MORE READ MORE
5Original product that can we saw in the pic and product is goodREAD MORE READ MORE
5Verry nice and Slim beutiful colour.READ MORE READ MORE
5Super QualityREAD MORE READ MORE
4Super 😊😊😊😊😊😊👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿READ MORE READ MORE
4Good product 👍READ MORE READ MORE
4Nice shirt and good fabricREAD MORE READ MORE
3Good quality 👌👌READ MORE READ MORE
3NiceREAD MORE READ MORE
5Good qualityREAD MORE READ MORE
"5I just wanted this types of pure polyester, satin shirt. It's very nice.. Very glossy. Perfect party shirt.READ MORE READ MORE"
"5Shiny, smooth, comfortable. Looks great.READ MORE READ MORE"
5I Oder shirt for wedding  looking so amazing and quality too gud I really love itREAD MORE READ MORE
3OkREAD MORE READ MORE
4Very nice product 🙂READ MORE READ MORE
3Super qualityREAD MORE READ MORE
5Very good shirt good stuff and very niceREAD MORE READ MORE
5supab must buyREAD MORE READ MORE
5Just wow 😳 thankyou FlipkartREAD MORE READ MORE
4GoodREAD MORE READ MORE
2ThikthakREAD MORE READ MORE
4Good productREAD MORE READ MORE
5Very good productREAD MORE READ MORE
4Super 👌READ MORE READ MORE
4GoodREAD MORE READ MORE
5Very useful product and God condition and very smooth shirt 👕👍😊😊READ MORE READ MORE
5NiceREAD MORE READ MORE
3All goodREAD MORE READ MORE
2Not good quality.READ MORE READ MORE
3GoodREAD MORE READ MORE
5Very good quality 👍🥰READ MORE READ MORE
"5Product is superb, fabric, colour and fitting is awesome 👍❤️READ MORE READ MORE"
3NiceREAD MORE READ MORE
4GoodREAD MORE READ MORE
5GoodREAD MORE READ MORE
1Bad shirtREAD MORE READ MORE
3ModerateREAD MORE READ MORE
4Very good product and colour also same as in imageREAD MORE READ MORE
5GoodREAD MORE READ MORE
2Size prafact no it's not no goodREAD MORE READ MORE
4Nice.... Original colourREAD MORE READ MORE
5Love itREAD MORE READ MORE
5GoodREAD MORE READ MORE
5Good MaterialREAD MORE READ MORE
5SuperREAD MORE READ MORE
5Very good quality clothes fitting goREAD MORE READ MORE
4Very nice productValue for moneyI like itREAD MORE READ MORE
5Fabric is so niceREAD MORE READ MORE
5Good as expected 👌🏻READ MORE READ MORE
2Cheap quality 😡😡READ MORE READ MORE
5Product super ******READ MORE READ MORE
4Cloth product is very simpleREAD MORE READ MORE
5GoodREAD MORE READ MORE
4Fitting is awesomeREAD MORE READ MORE
3Material quality is not up to the mark.READ MORE READ MORE
3OkREAD MORE READ MORE
"4A perfect party wear shirt, quality is perfectREAD MORE READ MORE"
"5This shirt is very nice, after wearing it it feels like wearing silk clothesREAD MORE READ MORE"
5Good 😊READ MORE READ MORE
5Superb cloth quality is best I like itREAD MORE READ MORE
3The product is OK. But four buttons are missingREAD MORE READ MORE
4NiceREAD MORE READ MORE
5Good quality productREAD MORE READ MORE
5Good product 😁💯READ MORE READ MORE
4Very nice quality and super finishingREAD MORE READ MORE
5Good ProductREAD MORE READ MORE
4Fabric is very softREAD MORE READ MORE
5SuperREAD MORE READ MORE
4Vera very cool productREAD MORE READ MORE
3Not bad but it's ok 🐱READ MORE READ MORE
5Very goodREAD MORE READ MORE
5Nice shirt and colour quality is very goodREAD MORE READ MORE
5The bestREAD MORE READ MORE
5Absolutely amazing shirt ✌️✌️✌️READ MORE READ MORE
5Awesome shirt as expected 😍😍READ MORE READ MORE
5Thank you for everythingREAD MORE READ MORE
2Average for this priceREAD MORE READ MORE
4Nice Shirt 👍READ MORE READ MORE
5Very good productREAD MORE READ MORE
"3Color wasn't really good as shown in pic, but cloth and fitting is goodREAD MORE READ MORE"
4Very good and standard product in this price...I can't imagine that this product come so good..this shirt specially from my husband for his birthday..thank you so much flipkart for lovely shirt❤️❤️😍😍READ MORE READ MORE
4Good Product 💯 out of 💯READ MORE READ MORE
4Super niceREAD MORE READ MORE
5So nice..my man look so great in this shirtREAD MORE READ MORE
5Nice productREAD MORE READ MORE
4Nice shirtREAD MORE READ MORE
5Superb qualityREAD MORE READ MORE
4comfortableREAD MORE READ MORE
